"id","town_name","x","y","centre","minutes"
1012,"Thursday Island",142.2167,-10.5804,"Townsville University Hospital",1080.819326
1013,"Horn Island",142.2837,-10.60644,"Townsville University Hospital",1095.321749
1014,"Seisia",142.3701,-10.85188,"Townsville University Hospital",944.9550912
1015,"New Mapoon",142.3863,-10.87403,"Townsville University Hospital",941.3848819
1016,"Umagico",142.3489,-10.88916,"Townsville University Hospital",938.6512743
1017,"Bamaga",142.3893,-10.89279,"Townsville University Hospital",939.7901949
1018,"Injinoo",142.3275,-10.90209,"Townsville University Hospital",934.9848422
1019,"Mapoon",141.8976,-12.02178,"Townsville University Hospital",872.1839014
1020,"Weipa",141.8777,-12.62496,"Townsville University Hospital",814.4198158
1021,"Napranum",141.8909,-12.68153,"Townsville University Hospital",805.6318151
1022,"Lockhart River",143.3424,-12.78591,"Townsville University Hospital",854.0944546
1023,"Aurukun",141.7292,-13.35609,"Townsville University Hospital",806.3140301
1024,"Coen",143.1999,-13.9448,"Townsville University Hospital",629.7689944
1025,"Pormpuraaw",141.6245,-14.89198,"Townsville University Hospital",654.0187141
1026,"Hope Vale",145.1102,-15.2971,"Townsville University Hospital",479.0571065
1027,"Cooktown",145.2488,-15.47177,"Townsville University Hospital",442.1620646
1028,"Kowanyama",141.7435,-15.47744,"Townsville University Hospital",796.2775668
1029,"Wujal Wujal",145.3188,-15.94835,"Townsville University Hospital",385.3392704
1030,"Daintree",145.3306,-16.26079,"Townsville University Hospital",328.136468
1031,"Wonga Beach",145.4137,-16.3472,"Townsville University Hospital",316.3687394
1032,"Newell",145.4061,-16.425,"Townsville University Hospital",308.6479163
1033,"Cooya Beach",145.4067,-16.44813,"Townsville University Hospital",301.5280252
1034,"Mossman",145.3731,-16.46155,"Townsville University Hospital",302.5625889
1035,"Port Douglas",145.4662,-16.48533,"Townsville University Hospital",297.4971385
1036,"Craiglie",145.467,-16.51455,"Townsville University Hospital",294.6217099
1037,"Oak Beach",145.5147,-16.5941,"Townsville University Hospital",284.1524671
1039,"Kuranda",145.6352,-16.82032,"Townsville University Hospital",269.3849901
1040,"Yarrabah",145.865,-16.90636,"Townsville University Hospital",247.043943
1041,"Cairns",145.7649,-16.92311,"Townsville University Hospital",240.0324477
1042,"Mareeba",145.4221,-16.9965,"Townsville University Hospital",268.6017775
1043,"Mareeba - South",145.4211,-17.05062,"Townsville University Hospital",263.7673629
1044,"Gordonvale",145.7806,-17.09611,"Townsville University Hospital",218.7128079
1045,"Goldsborough",145.7509,-17.14553,"Townsville University Hospital",223.9756898
1046,"Dimbulah",145.1096,-17.15058,"Townsville University Hospital",288.7027495
1047,"Chillagoe",144.5225,-17.15243,"Townsville University Hospital",358.5812771
1048,"Walkamin",145.4411,-17.15428,"Townsville University Hospital",252.7055257
1049,"Tinaroo",145.5505,-17.16863,"Townsville University Hospital",251.3961143
1050,"Tolga - West",145.4506,-17.204,"Townsville University Hospital",249.8625263
1051,"Tolga",145.4776,-17.22463,"Townsville University Hospital",246.3056547
1052,"Atherton",145.4776,-17.26641,"Townsville University Hospital",243.1075111
1053,"Yungaburra",145.5851,-17.26885,"Townsville University Hospital",238.3392319
1054,"Babinda",145.9219,-17.3445,"Townsville University Hospital",195.9071473
1055,"Bramston Beach",146.0198,-17.35108,"Townsville University Hospital",195.0459784
1056,"Malanda",145.5954,-17.35328,"Townsville University Hospital",226.3012574
1057,"Herberton",145.3852,-17.38376,"Townsville University Hospital",240.1605096
1058,"Mirriwinni",145.9089,-17.39951,"Townsville University Hospital",190.4873454
1059,"Tarzali",145.61,-17.42092,"Townsville University Hospital",220.2040204
1060,"Karumba",140.8383,-17.48673,"Townsville University Hospital",583.6413746
1061,"Flying Fish Point",146.0754,-17.49616,"Townsville University Hospital",182.308228
1062,"Coconuts",146.0431,-17.50908,"Townsville University Hospital",177.7848091
1063,"Millaa Millaa",145.612,-17.51108,"Townsville University Hospital",209.7218221
1064,"Belvedere",145.9896,-17.51972,"Townsville University Hospital",180.0730687
1065,"Innisfail",146.0299,-17.52363,"Townsville University Hospital",174.0023646
1066,"Wangan",146.0083,-17.57463,"Townsville University Hospital",171.564984
1067,"Mourilyan",146.0419,-17.583,"Townsville University Hospital",167.0666337
1068,"South Johnstone",145.9951,-17.60097,"Townsville University Hospital",168.2098681
1069,"Ravenshoe",145.4842,-17.60534,"Townsville University Hospital",232.6055564
1070,"Normanton",141.0761,-17.67331,"Townsville University Hospital",537.9366929
1071,"Mount Garnet",145.1208,-17.67675,"Townsville University Hospital",260.4561067
1072,"Burketown",139.5466,-17.74255,"Townsville University Hospital",757.3075299
1073,"Silkwood",146.0203,-17.74863,"Townsville University Hospital",154.9077532
1074,"Kurrimine",146.1047,-17.77796,"Townsville University Hospital",161.2411821
1075,"El Arish",146.0048,-17.80559,"Townsville University Hospital",149.0178481
1076,"Bingil Bay",146.0976,-17.83471,"Townsville University Hospital",161.1911088
1077,"Mission Beach",146.107,-17.86879,"Townsville University Hospital",160.1762431
1078,"Wongaling Beach",146.091,-17.91401,"Townsville University Hospital",156.6847228
1079,"Tully",145.9217,-17.93491,"Townsville University Hospital",139.9028961
1080,"Doomadgee",138.824,-17.94141,"Townsville University Hospital",791.3431982
1081,"South Mission Beach",146.0909,-17.94652,"Townsville University Hospital",157.5556804
1082,"Carmoo",146.0461,-17.94788,"Townsville University Hospital",148.548011
1083,"Tully Heads",146.0563,-18.01976,"Townsville University Hospital",146.4029742
1084,"Croydon",142.2422,-18.2051,"Townsville University Hospital",440.8011271
1085,"Cardwell",146.0227,-18.26396,"Townsville University Hospital",110.1552451
1086,"Georgetown",143.5479,-18.29241,"Townsville University Hospital",345.7479095
1087,"Lucinda",146.3337,-18.52889,"Townsville University Hospital",95.78898402
1088,"Halifax",146.2856,-18.58094,"Townsville University Hospital",88.62110909
1089,"Macknade",146.2605,-18.58664,"Townsville University Hospital",87.42525437
1090,"Taylors Beach",146.3273,-18.62407,"Townsville University Hospital",93.48412274
1091,"Trebonne",146.0781,-18.62689,"Townsville University Hospital",80.53296272
1092,"Ingham",146.1581,-18.64706,"Townsville University Hospital",75.33067823
1093,"Allingham",146.2953,-18.70771,"Townsville University Hospital",87.7786455
1094,"Palm Island",146.6058,-18.72665,"Townsville University Hospital",284.3648964
1095,"Balgal Beach",146.4083,-19.01722,"Townsville University Hospital",40.98592217
1096,"Horseshoe Bay",146.8597,-19.11815,"Townsville University Hospital",70.42251091
1097,"Toolakea",146.5788,-19.14605,"Townsville University Hospital",28.14502335
1098,"Arcadia Bay",146.8651,-19.14853,"Townsville University Hospital",66.25233923
1099,"Nelly Bay",146.8484,-19.15696,"Townsville University Hospital",64.50439318
1100,"Saunders Beach",146.6098,-19.15875,"Townsville University Hospital",24.8172253
1101,"Bluewater",146.5589,-19.1675,"Townsville University Hospital",24.33048709
1102,"Picnic Bay",146.8379,-19.17814,"Townsville University Hospital",67.93645744
1103,"Yabulu",146.5851,-19.20155,"Townsville University Hospital",20.55597816
1104,"Pallarenda",146.773,-19.20234,"Townsville University Hospital",20.55136238
1105,"Bluewater Park",146.5138,-19.20308,"Townsville University Hospital",27.82355798
1106,"Black River",146.618,-19.23302,"Townsville University Hospital",17.40782956
1107,"Townsville",146.8092,-19.26508,"Townsville University Hospital",15.43296472
1108,"Rangewood",146.6392,-19.31192,"Townsville University Hospital",13.49819877
1109,"Alice River",146.6023,-19.32778,"Townsville University Hospital",16.00790769
1110,"Nome",146.9099,-19.37372,"Townsville University Hospital",17.938261
1111,"Cungulla",147.1112,-19.40128,"Townsville University Hospital",34.92663311
1112,"Alligator Creek",146.9432,-19.42302,"Townsville University Hospital",23.91320446
1113,"Alva Beach",147.4799,-19.45506,"Townsville University Hospital",75.38588839
1114,"Giru",147.1066,-19.51333,"Townsville University Hospital",39.88493742
1115,"Kalamia Estate",147.4184,-19.53428,"Townsville University Hospital",67.14997686
1116,"Brandon",147.3554,-19.55389,"Townsville University Hospital",55.77882303
1117,"Ayr",147.4056,-19.57545,"Townsville University Hospital",61.79092973
1118,"Home Hill",147.4144,-19.66043,"Townsville University Hospital",70.87277856
1119,"Camooweal",138.119,-19.92248,"Townsville University Hospital",719.0156323
1120,"Bowen",148.2418,-20.01494,"Townsville University Hospital",136.0164966
1121,"Merinda",148.1648,-20.01751,"Townsville University Hospital",128.9773991
1122,"Charters Towers",146.2598,-20.07699,"Townsville University Hospital",90.71172953
1123,"Hideaway Bay - Dingo Beach",148.4886,-20.08489,"Townsville University Hospital",183.9408397
1124,"Ravenswood",146.8898,-20.10146,"Townsville University Hospital",82.7330207
1125,"Airlie Beach",148.7132,-20.26829,"Townsville University Hospital",187.9391187
1126,"Cannonvale",148.6962,-20.2769,"Townsville University Hospital",184.2158004
1128,"Mount Julian",148.6196,-20.37468,"Townsville University Hospital",176.5526797
1129,"Proserpine",148.5821,-20.40489,"Townsville University Hospital",175.0745524
1130,"Collinsville",147.8441,-20.55341,"Townsville University Hospital",180.8340175
1131,"Scottville",147.8184,-20.57206,"Townsville University Hospital",184.6055052
1132,"Midge Point",148.7213,-20.65029,"Townsville University Hospital",197.2785208
1133,"Julia Creek",141.7435,-20.65701,"Townsville University Hospital",437.1810472
1134,"Cloncurry",140.5092,-20.70554,"Townsville University Hospital",527.8910342
1135,"Mount Isa",139.4993,-20.73044,"Townsville University Hospital",605.3104692
1136,"Richmond",143.1423,-20.73186,"Townsville University Hospital",338.2240319
1137,"Hughenden",144.1992,-20.84553,"Townsville University Hospital",258.6784947
1138,"Seaforth",148.9607,-20.89524,"Townsville University Hospital",248.8488104
1139,"Calen",148.7716,-20.89849,"Townsville University Hospital",217.8878607
1140,"Haliday Bay - Ball Bay",148.9879,-20.90075,"Townsville University Hospital",248.4252623
1141,"Killarney",152.2963,-28.33305,"Princess Alexandra Hospital",125.95798438
1142,"Nindaroo",149.1636,-21.05945,"Townsville University Hospital",259.6209409
1143,"Farleigh",149.1017,-21.10705,"Townsville University Hospital",245.7122812
1144,"Erakala",149.1071,-21.12326,"Townsville University Hospital",247.6294439
1145,"Finch Hatton",148.6313,-21.14165,"Townsville University Hospital",259.6765666
1146,"Marian",148.9428,-21.14558,"Townsville University Hospital",241.830663
1147,"Mackay",149.1664,-21.15497,"Townsville University Hospital",256.3593963
1148,"Mirani",148.8653,-21.16023,"Townsville University Hospital",248.3788949
1149,"Walkerston",149.0554,-21.16249,"Townsville University Hospital",248.8363873
1150,"Bakers Creek",149.1521,-21.20776,"Townsville University Hospital",258.6617332
1151,"Eton",148.9732,-21.26365,"Townsville University Hospital",253.168276
1152,"Hay Point",149.2905,-21.29652,"Townsville University Hospital",276.9150095
1153,"Glenden",148.1138,-21.35315,"Townsville University Hospital",258.0834264
1154,"Grasstree Beach",149.3067,-21.36404,"Townsville University Hospital",277.1300937
1155,"Campwin Beach",149.313,-21.37793,"Townsville University Hospital",278.5367429
1156,"Sarina Beach",149.3095,-21.38995,"Townsville University Hospital",277.6208537
1157,"Sarina",149.216,-21.4206,"Townsville University Hospital",274.7996897
1158,"Armstrong Beach",149.2873,-21.45078,"Townsville University Hospital",284.1726982
1159,"Nebo",148.6917,-21.69028,"Townsville University Hospital",294.9302369
1160,"Moranbah",148.0456,-22.0039,"Townsville University Hospital",356.3131912
1161,"Winton",143.0414,-22.38676,"Townsville University Hospital",403.3443839
1162,"Dysart",148.3481,-22.58982,"Townsville University Hospital",381.2894072
1163,"Middlemount",148.7039,-22.81426,"Townsville University Hospital",386.8274776
1164,"Clermont",147.6374,-22.82681,"Townsville University Hospital",328.7490393
1165,"Byfield",150.6508,-22.85074,"Sunshine Coast University Hospital",420.11217977
1166,"Boulia",139.9082,-22.91287,"Townsville University Hospital",663.0277266
1167,"Aramac",145.2439,-22.9698,"Townsville University Hospital",622.9745977
1168,"Tieri",148.3497,-23.03219,"Townsville University Hospital",387.1838662
1169,"Capella",148.0248,-23.08513,"Townsville University Hospital",359.7269423
1170,"Yeppoon",150.7431,-23.12635,"Sunshine Coast University Hospital",399.71786283
1171,"The Caves",150.4661,-23.17545,"Sunshine Coast University Hospital",388.648892
1172,"Mulambin",150.7857,-23.19155,"Sunshine Coast University Hospital",403.30840353
1173,"Kinka Beach",150.7876,-23.2243,"Sunshine Coast University Hospital",397.24474015
1174,"Glendale",150.4751,-23.24572,"Sunshine Coast University Hospital",386.32382005
1175,"Emu Park",150.8238,-23.25994,"Sunshine Coast University Hospital",398.14406555
1176,"Keppel Sands",150.7919,-23.3275,"Sunshine Coast University Hospital",394.82802079
1177,"Rockhampton",150.4974,-23.38918,"Sunshine Coast University Hospital",363.96247801
1178,"Rubyvale",147.6974,-23.42054,"Townsville University Hospital",396.0980768
1179,"Gracemere",150.4558,-23.43865,"Sunshine Coast University Hospital",362.49725407
1180,"Longreach",144.2475,-23.44447,"Townsville University Hospital",515.479124
1181,"Sapphire",147.7193,-23.46006,"Townsville University Hospital",402.361369
1182,"Emerald",148.1598,-23.52349,"Townsville University Hospital",394.3627464
1183,"Barcaldine",145.2854,-23.55288,"Townsville University Hospital",583.3135918
1184,"Blackwater",148.8834,-23.5779,"Townsville University Hospital",445.9500771
1185,"Bouldercombe",150.4668,-23.57818,"Sunshine Coast University Hospital",365.70608347
1186,"Bluff",149.0695,-23.57993,"Townsville University Hospital",457.9731037
1187,"Mount Morgan",150.3881,-23.64464,"Sunshine Coast University Hospital",379.93312458
1188,"Dingo",149.3315,-23.64629,"Sunshine Coast University Hospital",448.72438256
1189,"Alpha",146.6387,-23.65028,"Townsville University Hospital",485.8604306
1190,"Duaringa",149.6687,-23.71846,"Sunshine Coast University Hospital",426.65671138
1191,"Willows Gemfields",147.5411,-23.73932,"Townsville University Hospital",433.1208823
1192,"Mount Larcom",150.9799,-23.8124,"Sunshine Coast University Hospital",315.67528127
1193,"Gladstone",151.2578,-23.84753,"Sunshine Coast University Hospital",302.98684364
1194,"Tannum Sands",151.3685,-23.94867,"Sunshine Coast University Hospital",288.81789763
1195,"Wurdong Heights",151.3025,-23.98485,"Sunshine Coast University Hospital",287.45862769
1196,"Calliope",151.213,-23.99655,"Sunshine Coast University Hospital",295.58467395
1197,"Benaraby",151.3256,-24.00187,"Sunshine Coast University Hospital",284.61314942
1198,"Springsure",148.0891,-24.11595,"Townsville University Hospital",439.522835
1199,"Woorabinda",149.4575,-24.1306,"Sunshine Coast University Hospital",426.35446126
1200,"Seventeen Seventy",151.8855,-24.16343,"Sunshine Coast University Hospital",279.86529269
1201,"Baralaba",149.8114,-24.17958,"Sunshine Coast University Hospital",399.79373676
1202,"Agnes Water",151.9008,-24.21017,"Sunshine Coast University Hospital",272.98985458
1203,"Taylors Creek",149.1545,-24.25325,"Sunshine Coast University Hospital",446.21643755
1204,"Miriam Vale",151.5583,-24.328,"Sunshine Coast University Hospital",253.92786748
1205,"Biloela",150.5098,-24.39602,"Sunshine Coast University Hospital",334.04463435
1206,"Blackall",145.4645,-24.42336,"Princess Alexandra Hospital",623.3512071
1207,"Thangool",150.5751,-24.48738,"Sunshine Coast University Hospital",324.21338697
1208,"Moura",149.9719,-24.57498,"Sunshine Coast University Hospital",361.47177072
1209,"Moore Park",152.2757,-24.71776,"Sunshine Coast University Hospital",210.69551211
1210,"Burnett Heads",152.4149,-24.76892,"Sunshine Coast University Hospital",199.92579959
1211,"Bargara",152.4607,-24.81453,"Sunshine Coast University Hospital",199.07607859
1212,"Gooburrum",152.345,-24.81685,"Sunshine Coast University Hospital",199.11368324
1213,"Sloping Hummock",152.4252,-24.8436,"Sunshine Coast University Hospital",194.3819091
1214,"Oakwood",152.298,-24.85082,"Sunshine Coast University Hospital",196.41638158
1215,"Monto",151.1207,-24.86547,"Sunshine Coast University Hospital",272.82296536
1216,"Bundaberg",152.3444,-24.87052,"Sunshine Coast University Hospital",191.70226815
1217,"Innes Park",152.4823,-24.88137,"Sunshine Coast University Hospital",196.03447871
1218,"Tambo",146.2549,-24.88339,"Princess Alexandra Hospital",559.29948721
1219,"Sharon",152.2587,-24.88377,"Sunshine Coast University Hospital",193.79524049
1220,"Elliott Heads",152.4888,-24.9178,"Sunshine Coast University Hospital",197.76380072
1221,"Theodore",150.075,-24.94678,"Sunshine Coast University Hospital",319.99396069
1222,"South Bingera",152.2194,-24.96842,"Sunshine Coast University Hospital",181.09657952
1223,"Gin Gin",151.9557,-24.99157,"Sunshine Coast University Hospital",191.54189542
1224,"Woodgate",152.5506,-25.0964,"Sunshine Coast University Hospital",175.85533838
1225,"Cordalba",152.2111,-25.15681,"Sunshine Coast University Hospital",165.76269887
1226,"Mount Perry",151.6442,-25.18036,"Sunshine Coast University Hospital",226.2572709
1227,"Burrum Heads",152.609,-25.18701,"Sunshine Coast University Hospital",147.48894979
1228,"Burrum Heads - East",152.6334,-25.21101,"Sunshine Coast University Hospital",146.34616628
1229,"Apple Tree Creek",152.2338,-25.22391,"Sunshine Coast University Hospital",159.22714262
1230,"Burrum Heads - South",152.5934,-25.23535,"Sunshine Coast University Hospital",143.54587695
1231,"Childers",152.2765,-25.23536,"Sunshine Coast University Hospital",154.54494286
1232,"Toogoom",152.6898,-25.25614,"Sunshine Coast University Hospital",144.90789696
